"","plate","well","run","A","mu","lambda","solvent","control2","strain"
"244","S2L1","B08","Result_96_2020-01-13_mitacs_control",3.40636519726439,0.000158234439766212,15680.8838131188,"H2O","case","S6.113"
"245","S2L1","D05","Result_96_2020-01-13_mitacs_control",3.37926126995331,0.000201971951028102,16802.5540502286,"H2O","case","S6.113"
"246","S2L1","B07","Result_96_2020-01-13_mitacs_control",3.22954898412873,0.000140228049223572,18061.6503545073,"DMSO","DMSO","S6.113"
"247","S2L1","A11","Result_96_2020-01-13_mitacs_control",3.45088988237149,0.000169497594776332,17194.2211775933,"H2O","case","S6.113"
"248","S2L1","C02","Result_96_2020-01-13_mitacs_control",3.58329174773664,0.000163668610541144,17133.6002659354,"H2O","case","S6.113"
"249","S2L1","E05","Result_96_2020-01-13_mitacs_control",3.33723534767521,0.000182501425251644,16572.4546341423,"H2O","case","S6.113"
"250","S2L1","F02","Result_96_2020-01-13_mitacs_control",3.33765244718038,0.000137543687804653,17069.9137237189,"DMSO","case","S6.113"
"251","S2L1","H12","Result_96_2020-01-13_mitacs_control",3.35706990100762,0.000150365780956231,16307.9577476012,"H2O","case","S6.113"
"252","S2L1","F11","Result_96_2020-01-13_mitacs_control",3.3838226286133,0.000194083834657148,17579.4117255066,"H2O","case","S6.113"
"253","S2L1","D04","Result_96_2020-01-13_mitacs_control",3.50714296735427,0.000154069726885445,15222.4426957724,"H2O","case","S6.113"
"254","S2L1","A09","Result_96_2020-01-13_mitacs_control",3.29155444584384,0.000141684266176862,15287.7086941449,"H2O","case","S6.113"
"255","S2L1","D12","Result_96_2020-01-13_mitacs_control",3.53397857200235,0.000144499912026437,15195.3247353842,"H2O","case","S6.113"
"256","S2L1","F08","Result_96_2020-01-13_mitacs_control",3.20994685642133,0.000153342159908752,17913.343992277,"DMSO","case","S6.113"
"257","S2L1","G10","Result_96_2020-01-13_mitacs_control",3.39040783277013,0.000153023059149932,14749.2490677491,"H2O","case","S6.113"
"258","S2L1","E06","Result_96_2020-01-13_mitacs_control",3.45387922548151,0.000184193358145413,16230.5936487476,"H2O","case","S6.113"
"259","S2L1","D03","Result_96_2020-01-13_mitacs_control",3.58752531423834,0.00032165712383181,34366.4939064381,"ETOH","case","S6.113"
"260","S2L1","E01","Result_96_2020-01-13_mitacs_control",3.59153515464464,0.000312698600700578,34528.2953745158,"ETOH","case","S6.113"
"261","S2L1","F09","Result_96_2020-01-13_mitacs_control",3.34182765232507,0.000138538670312933,15821.8775139639,"DMSO","case","S6.113"
"262","S2L1","G03","Result_96_2020-01-13_mitacs_control",3.43405693113344,0.000147116437169551,15361.3567819899,"H2O","case","S6.113"
"263","S2L1","G01","Result_96_2020-01-13_mitacs_control",3.48085796891185,0.000225330260340313,32148.0382858012,"ETOH","case","S6.113"
"264","S2L1","C01","Result_96_2020-01-13_mitacs_control",3.71391035793854,0.000281933551854152,33272.7440915384,"ETOH","ETOH","S6.113"
"265","S2L1","A10","Result_96_2020-01-13_mitacs_control",3.15859191063473,0.000194646455476325,17508.1234956334,"H2O","case","S6.113"
